Country Name,Country Code,Series Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Afghanistan,AFG,"Central government debt, total (% of GDP)",,,,,,,,,,,,,,,
Afghanistan,AFG,Control of Corruption: Estimate,-1.645391107,-1.600470781,-1.430372834,-1.445960641,-1.364934087,-1.354713082,-1.540227771,-1.530074596,-1.502875924,-1.419310093,-1.493360877,-1.152265787,-1.183684349,-1.154931784,
Afghanistan,AFG,Current account balance (% of GDP),-3.643313882,-12.61953821,-25.8706815,-25.29005856,-15.77241983,-21.91265734,-14.95019519,-18.95596123,-21.58527412,-20.17046439,-15.71830279,,,,
Afghanistan,AFG,Current health expenditure (% of GDP),8.56967163,8.56190777,7.89716864,8.80596447,9.52887821,10.10534763,11.81859016,12.62081718,14.20841885,14.83131981,15.53361416,21.508461,23.0881691,,
Afghanistan,AFG,External debt stocks (% of GNI),15.3334974,13.9770517,12.92816044,12.80483637,12.30498827,13.49083011,14.14704504,14.51334274,14.64242467,13.94965204,15.12085853,24.78573995,23.33684898,19.79809883,
Afghanistan,AFG,GDP growth (annual %),14.36244147,0.426354777,12.75228709,5.600744659,2.724543362,1.451314661,2.260314203,2.647003203,1.189228129,3.911603416,-2.351100672,-20.73883937,-6.240171992,2.710886791,
Afghanistan,AFG,GDP per capita (current US$),560.6215055,606.6946763,651.4171345,637.0870991,625.0549418,565.5697304,522.0822156,525.4697709,491.3372214,496.6025043,510.7870634,356.4962141,357.2611528,415.7074171,
Afghanistan,AFG,Government Effectiveness: Estimate,-1.478315592,-1.474100471,-1.375535131,-1.401462913,-1.361646175,-1.397394896,-1.291468024,-1.386596799,-1.50175786,-1.519112587,-1.611539483,-1.670587897,-1.880034804,-1.987013698,
Afghanistan,AFG,Government Effectiveness: Percentile Rank,3.82775116,4.739336491,5.687203884,6.161137581,7.211538315,6.666666508,7.619047642,7.142857075,7.142857075,6.666666508,5.238095284,5.238095284,1.886792421,1.415094376,
Afghanistan,AFG,Human capital index (HCI) (scale 0-1),,,,,,,,0.389,0.393489242,,0.400284141,,,,
Afghanistan,AFG,"Inflation, consumer prices (annual %)",2.178537524,11.80418581,6.441212809,7.385771784,4.673996035,-0.661709165,4.383891955,4.975951506,0.626149149,2.302372515,5.601887915,5.133203408,13.71210237,-4.644708708,-6.601185641
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Estimate,-2.579151869,-2.502059698,-2.418561459,-2.519349098,-2.411068439,-2.56262517,-2.662156105,-2.794975519,-2.753441334,-2.65253973,-2.702721119,-2.518676043,-2.544955969,-2.484080553,
Afghanistan,AFG,Regulatory Quality: Estimate,-1.516528249,-1.536323905,-1.192579746,-1.1930902,-1.124133706,-1.018826246,-1.339695096,-1.363010406,-1.138203621,-1.113777995,-1.389163017,-1.311682105,-1.27180624,-1.266425252,
Afghanistan,AFG,Research and development expenditure (% of GDP),,,,,,,,,,,,,,,
Afghanistan,AFG,"Unemployment, total (% of total labor force) (national estimate)",,,1.692,,7.915,,,11.184,,,11.71,5.679,,,
Afghanistan,AFG,Voice and Accountability: Estimate,-1.404467344,-1.335976958,-1.267430067,-1.240139127,-1.135522604,-1.117628098,-1.037836909,-0.990954161,-1.007686734,-1.006712914,-1.078266859,-1.568389416,-1.753528714,-1.85290134,
Afghanistan,AFG,"Foreign direct investment, net inflows (% of GDP)",1.20311799,0.29302518,0.285440894,0.239801184,0.209664795,0.884000463,0.516606085,0.274796792,0.661572218,0.124495985,0.064993957,0.144466947,,,
Afghanistan,AFG,Total reserves (% of total external debt),211.9363509,255.2835756,277.1540762,281.6590952,297.5869891,268.6633974,280.499616,294.2340214,306.3611823,319.2583924,320.6813959,,,,
Afghanistan,AFG,Short-term debt (% of total reserves),2.035234983,1.265818111,1.582773621,1.452933536,2.312188367,4.125012961,4.869042942,5.799058814,5.285156637,4.94091559,4.463395175,,,,
Afghanistan,AFG,Gross portfolio equity liabilities to GDP (%),,,,,,,,,,,,,,,
Afghanistan,AFG,Outstanding international private debt securities to GDP (%),,,,,,,,,,,,,,,
Albania,ALB,"Central government debt, total (% of GDP)",,69.63767392,63.66915264,70.58076979,73.32022748,79.86441815,80.73558197,75.88872782,63.63376249,74.80828293,83.45420239,81.92013319,,,
Albania,ALB,Control of Corruption: Estimate,-0.531616509,-0.701794147,-0.778729439,-0.751372695,-0.586571813,-0.545140803,-0.472373724,-0.48138684,-0.546018898,-0.564274073,-0.57353878,-0.577179968,-0.408189446,-0.332218528,
Albania,ALB,Current account balance (% of GDP),-11.36586585,-12.93310145,-10.20017623,-9.274187789,-10.77539904,-8.604880468,-7.590825999,-7.544228752,-6.60766414,-7.820646808,-8.625047167,-7.595907592,-5.872436401,-1.196321748,
Albania,ALB,Current health expenditure (% of GDP),6.23667669,6.18297672,6.15746212,6.28286266,6.43451118,6.46411896,6.7293272,6.57848787,6.66844559,6.86214113,7.50389433,7.39913177,6.19368076,,
Albania,ALB,External debt stocks (% of GNI),46.04233476,50.28807282,60.3895495,66.53343032,63.76645952,73.31243547,70.65028358,75.096102,62.82643555,60.28702943,69.88903192,62.17227837,55.76463677,48.88462012,
Albania,ALB,GDP growth (annual %),3.706938153,2.545406145,1.4172428,1.002017541,1.774448853,2.218726375,3.314980684,3.80259872,4.019345617,2.06256754,-3.313716147,8.969553392,4.826688314,3.936625257,
Albania,ALB,GDP per capita (current US$),4094.349686,4437.141161,4247.631343,4413.063383,4578.633208,3952.803574,4124.05539,4531.032207,5365.489347,5460.428237,5370.778623,6413.283286,6846.426143,8575.171134,
Albania,ALB,Government Effectiveness: Estimate,-0.279453218,-0.202177078,-0.268925011,-0.324457377,-0.04977081,0.027575254,0.029082362,0.098552845,0.080524534,-0.062300701,-0.155121222,-0.035985023,0.064540535,0.250855356,
Albania,ALB,Government Effectiveness: Percentile Rank,44.01913834,48.3412323,44.54976273,44.07582855,53.36538315,54.2857132,55.23809433,57.61904907,55.23809433,49.04761887,48.09523773,50.95238113,56.13207626,60.37735748,
Albania,ALB,Human capital index (HCI) (scale 0-1),0.543602943,,,,,,,0.621,0.628666282,,0.634250939,,,,
Albania,ALB,"Inflation, consumer prices (annual %)",3.627100915,3.428071301,2.031592684,1.937620802,1.625865044,3.501208355,-0.36731721,2.060598459,2.028059631,1.41109079,1.620886617,2.041471631,6.725202715,4.759764219,2.214489533
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Estimate,-0.191482902,-0.282379419,-0.143631592,0.091929786,0.485986233,0.341639042,0.337447882,0.373770744,0.366779268,0.110105053,0.088612519,0.196371928,0.106261313,0.183348969,
Albania,ALB,Regulatory Quality: Estimate,0.233281955,0.283972561,0.240491986,0.254160255,0.279037684,0.174237311,0.186607629,0.220610321,0.256079823,0.272065461,0.221967235,0.175859392,0.159353822,0.171953663,
Albania,ALB,Research and development expenditure (% of GDP),,,,,,,,,,,,,,,
Albania,ALB,"Unemployment, total (% of total labor force) (national estimate)",14.086,13.481,13.376,15.866,18.055,17.193,15.418,13.616,12.304,11.466,11.639,11.474,10.785,10.669,
Albania,ALB,Voice and Accountability: Estimate,0.123838224,0.062333763,0.022064038,0.048864443,0.143689781,0.157135263,0.171097502,0.203885168,0.188786596,0.141965285,0.086325444,0.085588962,0.141740188,0.168997228,
Albania,ALB,"Foreign direct investment, net inflows (% of GDP)",9.138131244,8.135336135,7.451354955,9.816284582,8.693038722,8.690533943,8.805091978,7.855448267,7.831090666,7.706217856,7.018651545,6.757906713,7.579342194,6.883977454,
Albania,ALB,Total reserves (% of total external debt),46.73300531,38.1142608,35.20715123,32.07197082,31.30961218,37.15576552,36.50284793,36.61378824,40.34437254,40.58175257,45.97960038,50.96958248,50.54093935,56.80632927,
Albania,ALB,Short-term debt (% of total reserves),29.25098032,44.176936,56.53735071,62.89924532,70.35554105,57.13897469,60.13870421,59.88485167,23.49199685,22.59350634,20.00481112,21.7657768,24.35964817,19.41890752,
Albania,ALB,Gross portfolio equity liabilities to GDP (%),0.797922,0.7741206,0.805952,0.8249316,0.8727499,1.085254,1.105788,0.4072349,0.3124544,0.2754957,0.190216,0.1466337,0.2057833,0.1732555,
Albania,ALB,Outstanding international private debt securities to GDP (%),,,,,,,,,,,,,,,
Algeria,DZA,"Central government debt, total (% of GDP)",,,,,,,,,,,,,,,
